lmk-key,address1,address2,address3,postcode,uprn,uprn-source,asset-rating,asset-rating-band,floor-area,inspection-date,lodgement-date,property-type,building-reference-number,main-heating-fuel,building-emissions,target-emissions,standard-emissions,primary-energy-value,transaction-type
SAMPLE-0001,Unit 3,Carr Hill Industrial Estate,Doncaster,DN4 8DE,100050000001,Address Matched,88,C,1465,2024-06-11,2024-06-20,B8 Storage or Distribution,BR-0001,Natural Gas,52.4,59.5,71.2,268,Mandatory issue (Marketed sale)
SAMPLE-0002,Suite 2 Eagle House,Balby Road,Doncaster,DN4 8DF,100050000002,Address Matched,112,D,310.4,2019-03-04,2019-03-18,B1 Offices and Workshop businesses,BR-0002,Natural Gas,78.1,69.7,84.0,291,Mandatory issue (Marketed sale)
SAMPLE-0003,Warehouse A,Sandall Stones Road,Doncaster,DN3 1QR,100050000003,Energy Assessor,164,F,4120,2016-09-22,2016-10-05,B8 Storage or Distribution,BR-0003,Natural Gas,131.9,80.4,96.1,412,Mandatory issue (Rental)
SAMPLE-0004,Trade Counter Unit 7,Wheatley Hall Road,Doncaster,DN2 4PE,100050000004,Address Matched,193,G,980,2015-02-11,2015-02-27,A1 Retail and Financial/Professional services,BR-0004,LPG,158.2,81.9,98.0,455,Mandatory issue (Rental)
SAMPLE-0005,Kestrel House,First Avenue,Doncaster,DN2 4PY,100050000005,Address Matched,64,B,2240,2023-11-08,2023-11-21,B1 Offices and Workshop businesses,BR-0005,Air Source Heat Pump,31.8,49.7,60.2,142,Mandatory issue (Marketed sale)
SAMPLE-0006,Unit 12,Doncaster Carr,Doncaster,DN4 5JH,100050000006,Address Matched,101,D,1010,2021-07-19,2021-08-02,B2 General Industrial,BR-0006,Natural Gas,69.9,69.2,82.4,244,Mandatory issue (Marketed sale)
SAMPLE-0007,Former Print Works,Hexthorpe Road,Doncaster,DN4 0BY,,,,,,2014-05-06,2014-05-20,B2 General Industrial,BR-0007,Oil,,,,,Mandatory issue (Rental)
SAMPLE-0008,Nova Court,White Rose Way,Doncaster,DN4 5JH,100050000008,Address Matched,44,A,3680,2025-01-30,2025-02-12,B8 Storage or Distribution,BR-0008,Grid Supplied Electricity,22.1,50.3,61.0,118,Mandatory issue (Marketed sale)
SAMPLE-0009,Unit 5,Bentley Moor Lane,Doncaster,DN6 7BD,100050000009,Address Matched,143,E,760,2018-10-15,2018-10-29,B8 Storage or Distribution,BR-0009,Natural Gas,102.4,71.6,85.5,338,Mandatory issue (Rental)
SAMPLE-0010,"The Old Foundry, Block C",Marshgate,Doncaster,DN5 8AA,100050000010,Energy Assessor,127,E,1088,2017-04-03,2017-04-17,B2 General Industrial,BR-0010,Natural Gas,91.0,71.7,86.0,307,Mandatory issue (Rental)
